conversation_id,chunk_id,message_number,speaker,message,crime_element
1,1,14,Liam,They interviewed me yesterday.,Actus Reus
1,1,15,Marcus,Asked about my whereabouts Late Evening.,Actus Reus
1,2,48,Marcus,Just... some guys moving stuff. Quickly.,Actus Reus
1,2,70,Marcus,I'll handle the cleanup. Just… drop it.,Actus Reus
1,3,48,Marcus,Just... some guys moving stuff. Quickly.,Actus Reus
1,3,70,Marcus,I'll handle the cleanup. Just… drop it.,Actus Reus
1,3,77,Marcus,I overheard them talking about it on the phone. Sounded serious.,Actus Reus
1,4,48,Marcus,Just... some guys moving stuff. Quickly.,Actus Reus
1,4,70,Marcus,I'll handle the cleanup. Just… drop it.,Actus Reus
2,1,15,Sarah,Cryptic like...?,Actus Reus
2,1,16,Marcus,"Like, maybe the stuff isn't exactly... above board.",Actus Reus
2,2,48,Marcus,Just... some guys moving stuff. Quickly.,Actus Reus
2,3,67,Marcus,It was nothing. Really.,Actus Reus
2,3,67,Tom,"Yeah, just a couple of guys... unloading... something.",Actus Reus
2,3,70,Marcus,"Look, I’ll handle the cleanup. Just… drop it.",Actus Reus
